,name,field,rnaddr,addr,tel
113,프렌즈애견펜션,숙박지,강릉시 하남길 117-4,강원도 강릉시 안현동 506-1,
114,또바기콘도펜션,숙박지,강원도 정선군 남면 덕만길 5-19,강원도 정선군 남면 무릉리 295,
115,보노펜션,숙박지,강원도 양양군 손양면 선사유적로 240-29,강원도 양양군 손양면 동호리 1-53,
116,화이트샌드펜션,숙박지,강원도 양양군 현남면 새나루길 31,강원도 양양군 현남면 시변리 33-15,
117,다사랑 펜션,숙박지,강원도 삼척시 근덕면 용화안길 64-13,강원도 삼척시 근덕면 용화리 143-2,
118,빈티지하우스펜션,숙박지,"강원도 양양군 손양면 수산2길 16-11, C동",강원도 양양군 손양면 수산리 70,
119,아나파우오,식음료,강원도 홍천군 화촌면 도광터길 208,강원도 홍천군 화촌면 군업리 1371,
120,설악비치펜션,숙박지,강원도 양양군 강현면 뒷나루2길 5-4,강원도 양양군 강현면 전진리 66-8,
121,낙산바다회마을,식음료,강원도 양양군 강현면 해맞이길 4,강원도 양양군 강현면 전진리 10-2,
122,헬로피스카페,식음료,강원도 양양군 현북면 하조대2길 48-34,강원도 양양군 현북면 하광정리 618-4,
123,서퍼스파라다이스 STAY,숙박지,강원도 양양군 현남면 인구길 60-11,강원도 양양군 현남면 인구리 631-4,
124,보리네민박,숙박지,강원도 인제군 인제읍 자작나무숲길 1061-2,강원도 인제군 인제읍 원대리 671-16,
125,카페루아,식음료,강원도 강릉시 주문진읍 아래강정길 8-47,강원도 강릉시 주문진읍 향호리 113-1,
126,삐삐라떼,식음료,강원도 동해시 전천로 235-21,강원도 동해시 북평동 214-3,
127,솔길따라,식음료,강원도 춘천시 동면 도토골길 62,강원도 춘천시 동면 만천리 395-6,
128,피빙,식음료,강원도 양양군 현남면 인구중앙길 79,강원도 양양군 현남면 시변리 38-9,
129,샘토명물닭갈비,식음료,강원도 춘천시 신북읍 신샘밭로 729,강원도 춘천시 신북읍 천전리 68-2,
130,개고생,식음료,강원도 원주시 천매봉길 20-9,강원도 원주시 단구동 1557-6,
131,딜라이트펜션,숙박지,강원도 양양군 손양면 선사유적로 244,강원도 양양군 손양면 동호리 85-7,
132,망상파란펜션,숙박지,강원도 동해시 망상길 49,강원도 동해시 망상동 362-4,
133,둥개둥개,식음료,강원도 속초시 선사로2길 14,강원도 속초시 조양동 1537-1,
134,사농동334,식음료,강원도 춘천시 영서로 2949-13,강원도 춘천시 사농동 334,
135,정관루,숙박지,,강원도 춘천시 남산면 방하리 198-1,031-580-8000
136,고목,식음료,강원도 춘천시 남산면 남이섬길 1,강원도 춘천시 남산면 방하리 198,031-580-8053
137,남이섬,관광지,강원도 춘천시 남산면 남이섬길 1,강원도 춘천시 남산면 방하리 198-7,031-580-8114
138,투개더파크,체험,,강원도 춘천시 남산면 방하리 198-7,031-580-8114
139,아들바위공원,관광지,,강원도 강릉시 주문진읍 주문리 791-47,033-1330
140,파머스가든,식음료,강원도 춘천시 신북읍 신샘밭로 380,강원도 춘천시 신북읍 율문리 37-77,033-241-0505
141,카페나스,식음료,강원도 춘천시 신북읍 신샘밭로 706-8,강원도 춘천시 신북읍 천전리 85-1,033-241-9445
142,소양강댐,관광지,,강원도 춘천시 신북읍 천전리 산73-18,033-242-2455
143,쉬러와,식음료,강원도 춘천시 신북읍 지내고탄로 246,강원도 춘천시 신북읍 지내리 473,033-242-6039
144,광장동물병원,동물병원,강원도 춘천시 춘천로 188,강원도 춘천시 효자동 654-3,033-242-8075
145,춘천 물레길,체험,강원도 춘천시 스포츠타운길 113-1,강원도 춘천시 송암동 644-23,033-242-8463
146,강산숯불닭갈비막국수,식음료,강원도 춘천시 신북읍 신샘밭로 621,강원도 춘천시 신북읍 천전리 672-1,033-242-9972
147,헤이춘천,숙박지,강원도 춘천시 남춘로 49,강원도 춘천시 효자동 712-12,033-243-5566
148,서면카페,식음료,강원도 춘천시 서면 박사로 976,강원도 춘천시 서면 금산리 495-7,033-243-6222
149,하나동물병원,동물병원,강원도 춘천시 춘천로 287-1,강원도 춘천시 후평동 686-3,033-243-7511
150,신세계춘천정통닭갈비,식음료,강원도 춘천시 신북읍 신샘밭로 388-8,강원도 춘천시 신북읍 율문리 37-161,033-244-7575
151,경강 레일바이크,관광지,강원도 춘천시 남산면 서백길 57,강원도 춘천시 남산면 서천리 226-6,033-245-1002
152,춘천댐,관광지,,강원도 춘천시 서면 오월리 산12-34,033-245-2211
153,공지천공원,관광지,,강원도 춘천시 근화동 690-1,033-250-3089
154,물길로(의암호 킹카누),체험,,강원 춘천시 송암동 684,033-251-9600
155,초이랑,식음료,강원도 춘천시 신북읍 배후령길 9,강원도 춘천시 신북읍 천전리 115-1,033-252-5556
156,인디언독,식음료,강원도 춘천시 동면 만천양지길 147-1,강원도 춘천시 동면 만천리 332-7,033-253-2250
157,춘천의암호스카이워크,체험,,강원도 춘천시 칠전동 486,033-253-3700
158,멋 갤러리카페,식음료,강원도 춘천시 남춘로55번길 14,강원도 춘천시 효자동 707-12,033-255-3289
159,현대동물병원,동물병원,강원도 춘천시 춘천로 267,강원도 춘천시 후평동 677-21,033-256-7582
160,닥터각동물병원,동물병원,,강원도 춘천시 퇴계동 171-5,033-261-2524
161,노아스펜션,숙박지,강원도 춘천시 남산면 검봉산길 35,강원도 춘천시 남산면 강촌리 539,033-261-5079
162,하루숯불생고기,식음료,강원도 춘천시 세실로 100-32,강원 춘천시 석사동 34-6,033-261-6655
163,김유정역 폐역,관광지,,강원도 춘천시 신동면 증리 859-9,033-261-7780
164,커멍커멍,식음료,강원도 춘천시 동산면 새술막길 691,강원도 춘천시 동산면 원창리 880-1,033-262-0599
165,카페 8mm,식음료,강원도 춘천시 신동면 모오리길 47-28,강원도 춘천시 신동면 팔미리 237-2,033-262-6868
166,리버윅펜션,숙박지,강원도 춘천시 남산면 북한강변길 840,강원도 춘천시 남산면 강촌리 631-1,033-262-9601
167,우리동물병원,동물병원,강원도 춘천시 동내면 춘천순환로 70,강원도 춘천시 동내면 거두리 926-5,033-263-7502
168,도그스테이블,식음료,강원도 춘천시 안마산로 294-30,강원도 춘천시 석사동 172,033-264-0024
169,와이어드커피,식음료,강원도 춘천시 동내면 순환대로 632,강원도 춘천시 동내면 학곡리 5-14,033-264-0633
170,춘천숲자연휴양림캠핑장,숙박지,강원도 춘천시 동산면 종자리로 224-104,강원도 춘천시 동산면 군자리 산403,033-264-1156
171,고려동물병원,동물병원,강원도 춘천시 안마산로 189,강원도 춘천시 퇴계동 140-23,033-264-9975
172,막동계곡,관광지,,강원도 평창군 진부면 막동리 250-1,033-330-2607
173,장전계곡,관광지,강원도 평창군 진부면 장전길 435-2,강원도 평창군 진부면 장전리 산1,033-330-2607
174,대관령한우프라자,식음료,강원도 평창군 봉평면 무이진등길 37,강원도 평창군 봉평면 무이리 236-2,033-332-7222
175,바셀로,식음료,강원도 평창군 용평면 느므골길 53,강원도 평창군 용평면 장평리 119-6,033-333-0032
176,라마다호텔&스위트평창,숙박지,강원도 평창군 대관령면 오목길 107,강원도 평창군 대관령면 횡계리 245-66,033-333-1000
177,북극곰 야영장,숙박지,강원도 평창군 봉평면 흥정계곡길 313-3,강원도 평창군 봉평면 흥정리 312-2,033-333-2019
178,샬레리조트,숙박지,강원도 평창군 봉평면 석이바우길 71-20,강원도 평창군 봉평면 면온리 726-1,033-334-5635
179,보물섬캠핑장,숙박지,강원도 평창군 봉평면 거품소길 349-6,강원도 평창군 봉평면 유포리 61-2,033-334-7859
180,풀내음,식음료,강원도 평창군 봉평면 메밀꽃길 13,강원도 평창군 봉평면 원길리 763-5,033-335-0034
181,순수양떼목장,관광지,강원도 평창군 대관령면 오목길 152,강원도 평창군 대관령면 횡계리 산2-45,033-335-1497
182,허브나라농원,관광지,강원도 평창군 봉평면 흥정계곡길 225,강원도 평창군 봉평면 흥정리 302-7,033-335-2902
183,대관령눈꽃축제,체험,강원도 평창군 대관령면 대관령로 119,강원도 평창군 대관령면 횡계리 329-4,033-335-3995
184,평창 송어축제,체험,강원도 평창군 진부면 경강로 3562,강원도 평창군 진부면 하진부리 325,033-336-4000
185,국민의숲,관광지,강원도 평창군 대관령면 가시머리길 36-54,강원도 평창군 대관령면 횡계리 14-370,033-336-4037
186,김재문동물병원,동물병원,강원도 횡성군 횡성읍 문정로 10,강원도 횡성군 횡성읍 읍하리 134-32,033-343-5450
187,횡성호수길5구간,관광지,강원도 횡성군 갑천면 태기로구방5길 40,강원도 횡성군 갑천면 구방리 512,033-345-9657
188,요선암 요선정,관광지,강원도 영월군 무릉도원면 도원운학로 13-39,강원도 영월군 무릉도원면 무릉리 1057,033-370-2931
189,영월 스카이펜션&캠핑장,숙박지,강원도 영월군 무릉도원면 무릉법흥로 852-15,강원도 영월군 무릉도원면 법흥리 587,033-372-0399
190,별빛반려견 놀이터,체험,강원도 영월군 남면 연당로 47-6,강원도 영월군 남면 연당리 1036,033-372-0545
191,황가네숯불꾸이꾸이,식음료,강원도 영월군 영월읍 중앙로 84,강원도 영월군 영월읍 영흥리 904-1,033-372-9182
192,젊은달와이파크,관광지,강원도 영월군 주천면 송학주천로 1467-9,강원도 영월군 주천면 주천리 1376-36,033-372-9411
193,강원동물병원,동물병원,강원도 영월군 영월읍 중앙로 75,강원도 영월군 영월읍 영흥리 845-10,033-373-0788
194,펫힐링달빛동물원,관광지,,강원도 영월군 남면 연당리 662-2,033-373-0995
195,커피베이 영월점,식음료,강원도 영월군 영월읍 중앙로 32,강원도 영월군 영월읍 영흥리 947-53,033-374-6666
196,남강캠프,숙박지,강원도 영월군 무릉도원면 무릉법흥로 1050-16,강원도 영월군 무릉도원면 법흥리 89-9,033-375-1006
197,산여울 캠핑장,숙박지,강원도 영월군 무릉도원면 백년계곡길 142,강원도 영월군 무릉도원면 법흥리 297,033-375-2268
198,윤스빈,식음료,강원도 영월군 영월읍 분수대길 64,강원도 영월군 영월읍 하송리 184-46,033-375-3077
199,탐앤탐스 영월점,식음료,강원도 영월군 영월읍 동강로 100,강원도 영월군 영월읍 삼옥리 1646-6,033-375-3920
200,카페뮤지스,식음료,강원도 영월군 영월읍 은행나무길 90,강원도 영월군 영월읍 하송리 121-2,033-375-5497
201,여울소리 오토 캠핑장,숙박지,강원도 영월군 무릉도원면 중방길 2-45,강원도 영월군 무릉도원면 무릉리 800-5,033-375-7863
202,한반도 솔숲쉼터,숙박지,강원도 영월군 한반도면 서강로 1159-93,강원도 영월군 한반도면 광전리 598-1,033-375-7935
203,홍천원조화로구이,식음료,강원도 홍천군 서면 한서로 2167,강원도 홍천군 서면 굴업리 361-7,033-432-8592
204,휘바핀란드,체험,강원도 홍천군 서면 팔봉산로 368,강원도 홍천군 서면 두미리 631-6,033-433-0288
205,어도러블독,식음료,강원도 홍천군 홍천읍 홍천로 491,강원도 홍천군 홍천읍 갈마곡리 426-2,033-433-3631
206,신흥동물병원,동물병원,강원도 홍천군 홍천읍 번영로 61-1,강원도 홍천군 홍천읍 신장대리 13-1,033-434-2206
207,윤성철동물병원,동물병원,강원도 홍천군 홍천읍 홍천로 381,강원도 홍천군 홍천읍 신장대리 31-1,033-435-6995
208,신영펜션,숙박지,강원도 홍천군 서면 한치골길 75-12,강원도 홍천군 서면 대곡리 25,033-435-8666
209,우리동물병원,동물병원,강원도 홍천군 홍천읍 홍천로 420,강원도 홍천군 홍천읍 진리 22-9,033-436-7502
210,봄동물병원,동물병원,강원도 홍천군 홍천읍 무궁화로 44,강원도 홍천군 홍천읍 연봉리 206-17,033-436-7582
211,셰프스키친,식음료,강원도 홍천군 서면 한치골길 262,강원도 홍천군 서면 팔봉리 1290-2,033-439-7437
212,세계평화의종공원,관광지,강원도 화천군 화천읍 평화로 3481-143,강원도 화천군 화천읍 동촌리 2917-9,033-440-2318
213,국제평화아트파크,관광지,강원도 화천군 화천읍 평화로 3518,강원도 화천군 화천읍 동촌리 2917-9,033-440-2361
214,동구래마을,관광지,강원도 화천군 하남면 호수길 329,강원도 화천군 하남면 원천리 650-2,033-440-2361
215,꺼먹다리,관광지,,강원도 화천군 화천읍 대이리 468-3,033-440-2575
216,붕어섬,관광지,,강원도 화천군 화천읍 하리 165,033-440-2575
217,아를테마수목원,관광지,,강원도 화천군 하남면 거례리 514-1,033-440-2575
218,서오지리 연꽃단지,관광지,강원도 화천군 하남면 건넌들길 97,강원도 화천군 하남면 서오지리 25-15,033-440-2952
219,평화의댐오토캠핑장,숙박지,강원도 화천군 화천읍 비수구미길 145-145,강원도 화천군 화천읍 동촌리 2905-3,033-440-4533
220,김남수동물병원,동물병원,강원도 화천군 사내면 사내로 17-1,강원도 화천군 사내면 사창리 423-14,033-441-3213
221,국립화천숲속야영장,숙박지,강원도 화천군 간동면 배후령길 1144,강원도 화천군 간동면 간척리 산151-1,033-441-4466
222,아폴로천문대펜션,숙박지,강원도 화천군 사내면 천문대길 79-8,강원도 화천군 사내면 광덕리 1127,033-441-7342
223,화천써비스허브정원카페,식음료,강원도 화천군 하남면 춘화로 2861-10,강원도 화천군 하남면 거례리 265,033-442-4660
224,아리동물병원,동물병원,강원도 화천군 화천읍 가손이길 36,강원도 화천군 화천읍 아리 110-4,033-442-7990
225,은하수교,관광지,강원도 철원군 동송읍 한탄강길 112,강원도 철원군 동송읍 장흥리 2471,033-450-5114
226,직탕폭포,관광지,강원도 철원군 동송읍 직탕길 94,강원도 철원군 동송읍 장흥리 336,033-450-5534
227,노동당사,관광지,강원도 철원군 철원읍 금강산로 265,강원도 철원군 철원읍 관전리 3-5,033-450-5558
228,고석정,관광지,강원도 철원군 동송읍 태봉로 1825,강원도 철원군 동송읍 장흥리 20-1,033-450-5559
229,문혜동물병원,동물병원,강원도 철원군 갈말읍 명성로 279,강원도 철원군 갈말읍 군탄리 447-12,033-452-5894
230,튼튼동물병원,동물병원,,강원도 철원군 갈말읍 문혜리 681-16,033-452-9124
231,가산농원캠핑장,숙박지,강원도 철원군 갈말읍 상사로 377,강원도 철원군 갈말읍 상사리 628-4,033-452-9995
232,카페독스,식음료,강원도 철원군 동송읍 이평로 91,강원도 철원군 동송읍 이평리 851-28,033-455-1117
233,마운틴밸리펜션,숙박지,강원도 철원군 동송읍 담터길 174,강원도 철원군 동송읍 상노리 830,033-455-5596
234,동주동물병원,동물병원,강원도 철원군 동송읍 이평2로 17,강원도 철원군 동송읍 이평리 685-32,033-455-7518
235,성일동물병원,동물병원,강원도 철원군 동송읍 금학로 240-1,강원도 철원군 동송읍 이평리 853-38,033-455-8943
236,케렌시아펜션,숙박지,강원도 철원군 동송읍 창동로 2282,강원도 철원군 동송읍 장흥리 54-14,033-456-0303
237,와수대화동물병원,동물병원,강원도 철원군 서면 와수1로 7-1,강원도 철원군 서면 와수리 1139-3,033-458-4558
238,라이프위드도그,숙박지,강원도 인제군 인제읍 자작나무숲길 1112,강원도 인제군 인제읍 원대리 644,033-461-3377
239,인제종합동물병원,동물병원,강원도 인제군 인제읍 비봉로44번길 70,강원도 인제군 인제읍 남북리 810-5,033-461-3960
240,인더가든,식음료,강원도 인제군 남면 삼팔선로 2115,강원도 인제군 남면 신남리 513-1,033-461-6248
